"State","StateCode",Deaths,Population
"Alabama","01",860829,84016831
"Alaska","02",63378,12360948
"Arizona","04",838107,109191391
"Arkansas","05",522965,51115387
"California","06",4307063,657732064
"Colorado","08",561298,87520147
"Connecticut","09",531326,63428300
"Delaware","10",135995,15642558
"District of Columbia","11",94156,10821657
"Florida","12",3131123,328270645
"Georgia","13",1259058,167104718
"Hawaii","15",172293,23820385
"Idaho","16",200170,26808882
"Illinois","17",1872193,228431026
"Indiana","18",1031686,114672389
"Iowa","19",507272,54240721
"Kansas","20",448872,50399794
"Kentucky","21",752655,76506661
"Louisiana","22",755957,81497954
"Maine","23",231842,23678068
"Maryland","24",800522,102112259
"Massachusetts","25",987076,117373383
"Michigan","26",1599954,179175401
"Minnesota","27",702295,93869577
"Mississippi","28",526156,52684994
"Missouri","29",1008325,105641925
"Montana","30",158480,17392834
"Nebraska","31",277996,32356691
"Nevada","32",345282,45337347
"New Hampshire","33",188000,23374853
"New Jersey","34",1291576,156731084
"New Mexico","35",281613,35591378
"New York","36",2741578,347668398
"North Carolina","37",1399013,163935950
"North Dakota","38",107377,12151986
"Ohio","39",1987309,206878661
"Oklahoma","40",656541,65958887
"Oregon","41",575963,67122422
"Pennsylvania","42",2313883,226120660
"Rhode Island","44",176337,19028324
"South Carolina","45",732630,80204580
"South Dakota","46",128691,14407304
"Tennessee","47",1066772,110944821
"Texas","48",2969227,433541733
"Utah","49",260510,47101624
"Vermont","50",95443,11177520
"Virginia","51",1071197,139832729
"Washington","53",865688,117319695
"West Virginia","54",386296,32969943
"Wisconsin","55",857632,100761896
"Wyoming","56",77466,9717004
